"","year","age","value","model","value_lower","value_upper"
"288",1973,9,8.31170729118852e-09,"Two-outbreak model + age risk",1.51936712724939e-09,3.70593004844431e-08
"289",1958,1,5.81708370361866e-08,"Two-outbreak model + rho",2.56883958549281e-12,3.34599187134992e-05
"290",1959,1,4.53691986476712e-05,"Two-outbreak model + rho",1.96649778072544e-08,0.00416945942352417
"291",1960,1,0.00484639471689863,"Two-outbreak model + rho",1.89902079384074e-05,0.0655351269975725
"292",1961,1,0.0650175204654853,"Two-outbreak model + rho",0.00242531935626115,0.162358284636311
"293",1962,1,0.105181564577117,"Two-outbreak model + rho",0.0336749617129895,0.154464645637715
"294",1963,1,0.0332317406654069,"Two-outbreak model + rho",0.00210940446040821,0.113285254624573
"295",1964,1,0.00116735741216739,"Two-outbreak model + rho",1.1797262973956e-05,0.0372646323304698
"296",1965,1,5.94294680011931e-06,"Two-outbreak model + rho",1.6903730020168e-07,0.00177356821040381
"297",1966,1,0.000119208733064979,"Two-outbreak model + rho",3.77776235002569e-05,0.000333133659588877
"298",1967,1,0.0114040302327638,"Two-outbreak model + rho",0.00523010919038506,0.0218030021922926
"299",1968,1,0.139189497990389,"Two-outbreak model + rho",0.0959019830723394,0.185468609666181
"300",1969,1,0.229874948273999,"Two-outbreak model + rho",0.197520564106981,0.271204558489218
"301",1970,1,0.0611058190408197,"Two-outbreak model + rho",0.0368120163421563,0.0960642981305055
"302",1971,1,0.00203717814025034,"Two-outbreak model + rho",0.00080282413981026,0.00466940933600213
"303",1972,1,8.85490944085854e-06,"Two-outbreak model + rho",2.38072980034976e-06,2.96201464330348e-05
"304",1973,1,5.21874227166208e-09,"Two-outbreak model + rho",9.60378285230768e-10,2.56134865539437e-08
"305",1958,2,NA,"Two-outbreak model + rho",NA,NA
"306",1959,2,4.5369196177259e-05,"Two-outbreak model + rho",1.96649778072045e-08,0.004169324112236
"307",1960,2,0.00484614575568162,"Two-outbreak model + rho",1.89902075559175e-05,0.0652461200669503
"308",1961,2,0.0647142312460672,"Two-outbreak model + rho",0.00242527146893297,0.153923964943774
"309",1962,2,0.0979969742243033,"Two-outbreak model + rho",0.0321867801236882,0.142698601018347
"310",1963,2,0.0292246816620446,"Two-outbreak model + rho",0.00201683021988375,0.106208320390929
"311",1964,2,0.0011316412199547,"Two-outbreak model + rho",1.17710379868451e-05,0.03340872239072
"312",1965,2,5.9358704671956e-06,"Two-outbreak model + rho",1.6903088494578e-07,0.00170495781617807
"313",1966,2,0.000119207880164457,"Two-outbreak model + rho",3.77434918531715e-05,0.000333128909635846
"314",1967,2,0.0114026905781232,"Two-outbreak model + rho",0.00522990369533751,0.0217956674773111
"315",1968,2,0.137547161752546,"Two-outbreak model + rho",0.095411919958973,0.181468398155534
"316",1969,2,0.198988425628405,"Two-outbreak model + rho",0.167356804664995,0.232619800730886
